	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
15:44:59:444	0	0	0	0	0	0	0	0	0
15:44:59:567	0	0	0	0	0	0	0	0	0
15:44:59:660	0	0	0	0	0	0	0	0	0
15:44:59:759	0	0	0	0	0	0	0	0	0
15:44:59:871	0	0	0	0	0	0	0	0	0
15:44:59:991	0	0	0	0	0	0	0	0	0
15:45:0:91	0	0	0	0	0	0	0	0	0
15:45:0:209	0	0	0	0	0	0	0	0	0
15:45:0:305	0	0	0	0	0	0	0	0	0
15:45:0:428	0	0	0	0	0	0	0	0	0
15:45:0:535	0	0	0	0	0	0	0	0	0
15:45:0:640	0	0	0	0	0	0	0	0	0
15:45:0:744	0	0	0	0	0	0	0	0	0
15:45:0:856	0	0	0	0	0	0	0	0	0
15:45:0:978	0	0	0	0	0	0	0	0	0
15:45:1:83	0	0	0	0	0	0	0	0	0
15:45:1:180	0	0	0	0	0	0	0	0	0
15:45:1:305	0	0	0	0	0	0	0	0	0
15:45:1:402	0	0	0	0	0	0	0	0	0
15:45:1:514	0	0	0	0	0	0	0	0	0
15:45:1:632	0	0	0	0	0	0	0	0	0
15:45:1:750	0	0	0	0	0	0	0	0	0
15:45:1:861	0	0	0	0	0	0	0	0	0
15:45:1:963	0	0	0	0	0	0	0	0	0
15:45:2:87	0	0	0	0	0	0	0	0	0
15:45:2:175	0	0	0	0	0	0	0	0	0
15:45:2:273	0	0	0	0	0	0	0	0	0
15:45:2:411	0	0	0	0	0	0	0	0	0
15:45:2:506	0	0	0	0	0	0	0	0	0
15:45:2:626	0	0	0	0	0	0	0	0	0
15:45:2:753	0	0	0	0	0	0	0	0	0
15:45:2:858	0	0	0	0	0	0	0	0	0
15:45:2:942	0	0	0	0	0	0	0	0	0
15:45:3:37	0	0	0	0	0	0	0	0	0
15:45:3:159	0	0	0	0	0	0	0	0	0
15:45:3:268	0	0	0	0	0	0	0	0	0
15:45:3:379	0	0	0	0	0	0	0	0	0
15:45:3:487	0	0	0	0	0	0	0	0	0
15:45:3:595	0	0	0	0	0	0	0	0	0
15:45:3:719	0	0	0	0	0	0	0	0	0
15:45:3:820	0	0	0	0	0	0	0	0	0
15:45:3:946	0	0	0	0	0	0	0	0	0
15:45:4:44	0	0	0	0	0	0	0	0	0
15:45:4:142	0	0	0	0	0	0	0	0	0
15:45:4:252	0	0	0	0	0	0	0	0	0
15:45:4:349	0	0	0	0	0	0	0	0	0
15:45:4:460	0	0	0	0	0	0	0	0	0
15:45:4:579	0	0	0	0	0	0	0	0	0
15:45:4:694	0	0	0	0	0	0	0	0	0
15:45:4:790	0	0	0	0	0	0	0	0	0
15:45:4:905	0	0	0	0	0	0	0	0	0
15:45:5:19	0	0	0	0	0	0	0	0	0
15:45:5:128	0	0	0	0	0	0	0	0	0
15:45:5:239	0	0	0	0	0	0	0	0	0
15:45:5:331	0	0	0	0	0	0	0	0	0
15:45:5:444	0	0	0	0	0	0	0	0	0
15:45:5:566	0	0	0	0	0	0	0	0	0
15:45:5:681	0	0	0	0	0	0	0	0	0
15:45:5:789	0	0	0	0	0	0	0	0	0
15:45:5:999	0	0	0	0	0	0	0	0	0
15:45:6:86	0	0	0	0	0	0	0	0	0
15:45:6:188	0	0	0	0	0	0	0	0	0
15:45:6:289	0	0	0	0	0	0	0	0	0
15:45:6:386	0	0	0	0	0	0	0	0	0
15:45:6:491	0	0	0	0	0	0	0	0	0
15:45:6:591	0	0	0	0	0	0	0	0	0
15:45:6:698	0	0	0	0	0	0	0	0	0
15:45:6:797	0	0	0	0	0	0	0	0	0
15:45:6:887	0	0	0	0	0	0	0	0	0
15:45:6:988	0	0	0	0	0	0	0	0	0
15:45:7:90	0	0	0	0	0	0	0	0	0
15:45:7:191	0	0	0	0	0	0	0	0	0
15:45:7:325	0	0	0	0	0	0	0	0	0
15:45:7:436	0	0	0	0	0	0	0	0	0
15:45:7:541	0	0	0	0	0	0	0	0	0
15:45:7:633	0	0	0	0	0	0	0	0	0
15:45:7:753	0	0	0	0	0	0	0	0	0
15:45:7:873	0	0	0	0	0	0	0	0	0
15:45:7:969	0	0	0	0	0	0	0	0	0
15:45:8:83	0	0	0	0	0	0	0	0	0
15:45:8:191	0	0	0	0	0	0	0	0	0
15:45:8:302	0	0	0	0	0	0	0	0	0
15:45:8:413	0	0	0	0	0	0	0	0	0
15:45:8:518	0	0	0	0	0	0	0	0	0
15:45:8:625	0	0	0	0	0	0	0	0	0
15:45:8:730	0	0	0	0	0	0	0	0	0
15:45:8:887	0	0	0	0	0	0	0	0	0
15:45:9:40	0	0	0	0	0	0	0	0	0
15:45:9:127	0	0	0	0	0	0	0	0	0
15:45:9:224	0	0	0	0	0	0	0	0	0
15:45:9:327	0	0	0	0	0	0	0	0	0
15:45:9:432	0	0	0	0	0	0	0	0	0
15:45:9:524	0	0	0	0	0	0	0	0	0
15:45:9:623	0	0	0	0	0	0	0	0	0
15:45:9:724	0	0	0	0	0	0	0	0	0
15:45:9:828	0	0	0	0	0	0	0	0	0
15:45:9:934	0	0	0	0	0	0	0	0	0
15:45:10:61	0	0	0	0	0	0	0	0	0
15:45:10:166	0	0	0	0	0	0	0	0	0
15:45:10:271	0	0	0	0	0	0	0	0	0
15:45:10:371	0	0	0	0	0	0	0	0	0
15:45:10:484	0	0	0	0	0	0	0	0	0
15:45:10:586	0	0	0	0	0	0	0	0	0
15:45:10:698	0	0	0	0	0	0	0	0	0
15:45:10:807	0	0	0	0	0	0	0	0	0
15:45:10:920	0	0	0	0	0	0	0	0	0
15:45:11:56	0	0	0	0	0	0	0	0	0
15:45:11:150	0	0	0	0	0	0	0	0	0
