	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
10:23:41:387	0	0	0	0	0	0	0	0	0
10:23:41:489	0	0	0	0	0	0	0	0	0
10:23:41:596	0	0	0	0	0	0	0	0	0
10:23:41:714	0	0	0	0	0	0	0	0	0
10:23:41:814	0	0	0	0	0	0	0	0	0
10:23:41:927	0	0	0	0	0	0	0	0	0
10:23:42:49	0	0	0	0	0	0	0	0	0
10:23:42:143	0	0	0	0	0	0	0	0	0
10:23:42:245	0	0	0	0	0	0	0	0	0
10:23:42:373	0	0	0	0	0	0	0	0	0
10:23:42:474	0	0	0	0	0	0	0	0	0
10:23:42:572	0	0	0	0	0	0	0	0	0
10:23:42:678	0	0	0	0	0	0	0	0	0
10:23:42:802	0	0	0	0	0	0	0	0	0
10:23:42:917	0	0	0	0	0	0	0	0	0
10:23:43:32	0	0	0	0	0	0	0	0	0
10:23:43:129	0	0	0	0	0	0	0	0	0
10:23:43:248	0	0	0	0	0	0	0	0	0
10:23:43:346	0	0	0	0	0	0	0	0	0
10:23:43:457	0	0	0	0	0	0	0	0	0
10:23:43:581	0	0	0	0	0	0	0	0	0
10:23:43:670	0	0	0	0	0	0	0	0	0
10:23:43:793	0	0	0	0	0	0	0	0	0
10:23:43:907	0	0	0	0	0	0	0	0	0
10:23:44:8	0	0	0	0	0	0	0	0	0
10:23:44:105	0	0	0	0	0	0	0	0	0
10:23:44:222	0	0	0	0	0	0	0	0	0
10:23:44:324	0	0	0	0	0	0	0	0	0
10:23:44:451	0	0	0	0	0	0	0	0	0
10:23:44:567	0	0	0	0	0	0	0	0	0
10:23:44:657	0	0	0	0	0	0	0	0	0
10:23:44:777	0	0	0	0	0	0	0	0	0
10:23:44:874	0	0	0	0	0	0	0	0	0
10:23:44:988	0	0	0	0	0	0	0	0	0
10:23:45:111	0	0	0	0	0	0	0	0	0
10:23:45:201	0	0	0	0	0	0	0	0	0
10:23:45:322	0	0	0	0	0	0	0	0	0
10:23:45:439	0	0	0	0	0	0	0	0	0
10:23:45:539	0	0	0	0	0	0	0	0	0
10:23:45:639	0	0	0	0	0	0	0	0	0
10:23:45:757	0	0	0	0	0	0	0	0	0
10:23:45:863	0	0	0	0	0	0	0	0	0
10:23:45:975	0	0	0	0	0	0	0	0	0
10:23:46:100	0	0	0	0	0	0	0	0	0
10:23:46:186	0	0	0	0	0	0	0	0	0
10:23:46:307	0	0	0	0	0	0	0	0	0
10:23:46:414	0	0	0	0	0	0	0	0	0
10:23:46:523	0	0	0	0	0	0	0	0	0
10:23:46:632	0	0	0	0	0	0	0	0	0
10:23:46:735	0	0	0	0	0	0	0	0	0
10:23:46:847	0	0	0	0	0	0	0	0	0
10:23:47:4	0	0	0	0	0	0	0	0	0
10:23:47:118	0	0	0	0	0	0	0	0	0
10:23:47:197	0	0	0	0	0	0	0	0	0
10:23:47:304	0	0	0	0	0	0	0	0	0
10:23:47:409	0	0	0	0	0	0	0	0	0
10:23:47:505	0	0	0	0	0	0	0	0	0
10:23:47:610	0	0	0	0	0	0	0	0	0
10:23:47:713	0	0	0	0	0	0	0	0	0
10:23:47:851	0	0	0	0	0	0	0	0	0
10:23:47:948	0	0	0	0	0	0	0	0	0
10:23:48:45	0	0	0	0	0	0	0	0	0
10:23:48:167	0	0	0	0	0	0	0	0	0
10:23:48:286	0	0	0	0	0	0	0	0	0
10:23:48:397	0	0	0	0	0	0	0	0	0
10:23:48:487	0	0	0	0	0	0	0	0	0
10:23:48:608	0	0	0	0	0	0	0	0	0
10:23:48:712	0	0	0	0	0	0	0	0	0
10:23:48:813	0	0	0	0	0	0	0	0	0
10:23:48:923	0	0	0	0	0	0	0	0	0
10:23:49:36	0	0	0	0	0	0	0	0	0
10:23:49:160	0	0	0	0	0	0	0	0	0
10:23:49:256	0	0	0	0	0	0	0	0	0
10:23:49:355	0	0	0	0	0	0	0	0	0
10:23:49:486	0	0	0	0	0	0	0	0	0
10:23:49:586	0	0	0	0	0	0	0	0	0
10:23:49:696	0	0	0	0	0	0	0	0	0
10:23:49:796	0	0	0	0	0	0	0	0	0
10:23:49:907	0	0	0	0	0	0	0	0	0
10:23:50:30	0	0	0	0	0	0	0	0	0
10:23:50:121	0	0	0	0	0	0	0	0	0
10:23:50:242	0	0	0	0	0	0	0	0	0
10:23:50:354	0	0	0	0	0	0	0	0	0
10:23:50:458	0	0	0	0	0	0	0	0	0
10:23:50:556	0	0	0	0	0	0	0	0	0
10:23:50:667	0	0	0	0	0	0	0	0	0
10:23:50:781	0	0	0	0	0	0	0	0	0
10:23:50:896	0	0	0	0	0	0	0	0	0
10:23:50:994	0	0	0	0	0	0	0	0	0
10:23:51:103	0	0	0	0	0	0	0	0	0
10:23:51:230	0	0	0	0	0	0	0	0	0
10:23:51:338	0	0	0	0	0	0	0	0	0
10:23:51:444	0	0	0	0	0	0	0	0	0
10:23:51:549	0	0	0	0	0	0	0	0	0
10:23:51:702	0	0	0	0	0	0	0	0	0
10:23:51:801	0	0	0	0	0	0	0	0	0
10:23:51:900	0	0	0	0	0	0	0	0	0
10:23:52:3	0	0	0	0	0	0	0	0	0
10:23:52:94	0	0	0	0	0	0	0	0	0
10:23:52:220	0	0	0	0	0	0	0	0	0
10:23:52:313	0	0	0	0	0	0	0	0	0
10:23:52:436	0	0	0	0	0	0	0	0	0
10:23:52:539	0	0	0	0	0	0	0	0	0
10:23:52:648	0	0	0	0	0	0	0	0	0
10:23:52:748	0	0	0	0	0	0	0	0	0
10:23:52:865	0	0	0	0	0	0	0	0	0
10:23:52:967	0	0	0	0	0	0	0	0	0
10:23:53:94	0	0	0	0	0	0	0	0	0
10:23:53:185	0	0	0	0	0	0	0	0	0
10:23:53:295	0	0	0	0	0	0	0	0	0
10:23:53:421	0	0	0	0	0	0	0	0	0
10:23:53:530	0	0	0	0	0	0	0	0	0
10:23:53:629	0	0	0	0	0	0	0	0	0
10:23:53:732	0	0	0	0	0	0	0	0	0
10:23:53:832	0	0	0	0	0	0	0	0	0
10:24:0:528	0	0	0	0	0	0	0	0	0
10:24:0:616	0	0	0	0	0	0	0	0	0
10:24:5:764	0	0	0	0	0	0	0	0	0
10:24:5:865	0	0	0	0	0	0	0	0	0
10:24:5:957	0	0	0	0	0	0	0	0	0
10:24:6:53	0	0	0	0	0	0	0	0	0
10:24:6:939	0	0	0	0	0	0	0	0	0
10:24:11:987	0	0	0	0	0	0	0	0	0
10:24:15:682	0	0	0	0	0	0	0	0	0
10:24:15:772	0	0	0	0	0	0	0	0	0
10:24:15:872	0	0	0	0	0	0	0	0	0
10:24:15:973	0	0	0	0	0	0	0	0	0
10:24:16:71	0	0	0	0	0	0	0	0	0
10:24:16:173	0	0	0	0	0	0	0	0	0
10:24:16:272	0	0	0	0	0	0	0	0	0
10:24:16:370	0	0	0	0	0	0	0	0	0
10:24:16:480	0	0	0	0	0	0	0	0	0
10:24:16:570	0	0	0	0	0	0	0	0	0
10:24:16:667	0	0	0	0	0	0	0	0	0
10:24:16:789	0	0	0	0	0	0	0	0	0
10:24:16:870	0	0	0	0	0	0	0	0	0
10:24:17:0	0	0	0	0	0	0	0	0	0
10:24:17:86	0	0	0	0	0	0	0	0	0
10:24:17:209	0	0	0	0	0	0	0	0	0
10:24:17:316	0	0	0	0	0	0	0	0	0
10:24:17:422	0	0	0	0	0	0	0	0	0
10:24:17:520	0	0	0	0	0	0	0	0	0
10:24:17:661	0	0	0	0	0	0	0	0	0
10:24:17:757	0	0	0	0	0	0	0	0	0
10:24:17:854	0	0	0	0	0	0	0	0	0
10:24:17:969	0	0	0	0	0	0	0	0	0
10:24:18:81	0	0	0	0	0	0	0	0	0
10:24:18:200	0	0	0	0	0	0	0	0	0
10:24:18:321	0	0	0	0	0	0	0	0	0
10:24:18:414	0	0	0	0	0	0	0	0	0
10:24:18:519	0	0	0	0	0	0	0	0	0
10:24:18:629	0	0	0	0	0	0	0	0	0
10:24:18:725	0	0	0	0	0	0	0	0	0
10:24:18:839	0	0	0	0	0	0	0	0	0
10:24:18:953	0	0	0	0	0	0	0	0	0
10:24:19:66	0	0	0	0	0	0	0	0	0
10:24:19:187	0	0	0	0	0	0	0	0	0
10:24:19:270	0	0	0	0	0	0	0	0	0
10:24:19:400	0	0	0	0	0	0	0	0	0
10:24:19:517	0	0	0	0	0	0	0	0	0
10:24:19:617	0	0	0	0	0	0	0	0	0
10:24:19:725	0	0	0	0	0	0	0	0	0
10:24:19:837	0	0	0	0	0	0	0	0	0
10:24:19:937	0	0	0	0	0	0	0	0	0
10:24:20:56	0	0	0	0	0	0	0	0	0
10:24:20:170	0	0	0	0	0	0	0	0	0
10:24:20:262	0	0	0	0	0	0	0	0	0
10:24:20:387	0	0	0	0	0	0	0	0	0
10:24:20:497	0	0	0	0	0	0	0	0	0
10:24:20:598	0	0	0	0	0	0	0	0	0
10:24:20:718	0	0	0	0	0	0	0	0	0
10:24:20:809	0	0	0	0	0	0	0	0	0
10:24:20:928	0	0	0	0	0	0	0	0	0
10:24:21:48	0	0	0	0	0	0	0	0	0
10:24:21:133	0	0	0	0	0	0	0	0	0
10:24:21:258	0	0	0	0	0	0	0	0	0
10:24:21:356	0	0	0	0	0	0	0	0	0
10:24:21:470	0	0	0	0	0	0	0	0	0
10:24:21:587	0	0	0	0	0	0	0	0	0
10:24:21:684	0	0	0	0	0	0	0	0	0
10:24:21:793	0	0	0	0	0	0	0	0	0
10:24:21:918	0	0	0	0	0	0	0	0	0
10:24:22:31	0	0	0	0	0	0	0	0	0
10:24:22:113	0	0	0	0	0	0	0	0	0
10:24:22:242	0	0	0	0	0	0	0	0	0
10:24:22:345	0	0	0	0	0	0	0	0	0
10:24:22:455	0	0	0	0	0	0	0	0	0
10:24:22:554	0	0	0	0	0	0	0	0	0
10:24:22:668	0	0	0	0	0	0	0	0	0
10:24:22:790	0	0	0	0	0	0	0	0	0
10:24:22:887	0	0	0	0	0	0	0	0	0
10:24:23:28	0	0	0	0	0	0	0	0	0
10:24:23:134	0	0	0	0	0	0	0	0	0
10:24:23:229	0	0	0	0	0	0	0	0	0
10:24:23:336	0	0	0	0	0	0	0	0	0
10:24:23:475	0	0	0	0	0	0	0	0	0
10:24:23:585	0	0	0	0	0	0	0	0	0
10:24:23:674	0	0	0	0	0	0	0	0	0
10:24:23:788	0	0	0	0	0	0	0	0	0
10:24:23:901	0	0	0	0	0	0	0	0	0
10:24:24:7	0	0	0	0	0	0	0	0	0
10:24:24:109	0	0	0	0	0	0	0	0	0
10:24:24:233	0	0	0	0	0	0	0	0	0
10:24:24:336	0	0	0	0	0	0	0	0	0
10:24:24:452	0	0	0	0	0	0	0	0	0
10:24:24:557	0	0	0	0	0	0	0	0	0
10:24:24:661	0	0	0	0	0	0	0	0	0
10:24:24:760	0	0	0	0	0	0	0	0	0
10:24:24:871	0	0	0	0	0	0	0	0	0
10:24:24:982	0	0	0	0	0	0	0	0	0
10:24:25:92	0	0	0	0	0	0	0	0	0
10:24:25:209	0	0	0	0	0	0	0	0	0
10:24:25:318	0	0	0	0	0	0	0	0	0
10:24:25:432	0	0	0	0	0	0	0	0	0
10:24:25:539	0	0	0	0	0	0	0	0	0
10:24:25:643	0	0	0	0	0	0	0	0	0
10:24:25:757	0	0	0	0	0	0	0	0	0
10:24:25:871	0	0	0	0	0	0	0	0	0
10:24:25:982	0	0	0	0	0	0	0	0	0
10:24:26:86	0	0	0	0	0	0	0	0	0
10:24:26:199	0	0	0	0	0	0	0	0	0
10:24:26:299	0	0	0	0	0	0	0	0	0
10:24:26:423	0	0	0	0	0	0	0	0	0
10:24:26:516	0	0	0	0	0	0	0	0	0
